v_products_model	v_products_price	v_products_quantity	v_tax_class_title	EOREOR	v_famille	v_sousfamille
1207	1.673155039549	381	1	EOREOR	20	9
1232	1.833234983683	269	1	EOREOR	20	9
1233	2.041334974766	0	1	EOREOR	20	25
1242	12.9	0	1	EOREOR	1	84
1245	1.563659954071	160	1	EOREOR	20	9
1263	2.95	660	1	EOREOR	20	1
1264	4.27	570	1	EOREOR	20	1
1270	7.53	20	1	EOREOR	20	2
1272	1113	0	1	EOREOR	89	6
1274	990.57	0	1	EOREOR	89	6
1277	51.5	3	1	EOREOR	89	7
1279	2.955	-150	1	EOREOR	20	1
1280	49.92	0	1	EOREOR	89	7
1282	434.69	0	1	EOREOR	89	6
1286	3.487500071526	0	1	EOREOR	20	1
1292	2.36	0	1	EOREOR	89	6
1293	157.28	0	1	EOREOR	89	6
1294	152.7	0	1	EOREOR	89	6
1295	89	0	1	EOREOR	89	6
1296	0.6	0	1	EOREOR	89	6
1297	658	0	1	EOREOR	89	6
1298	682	0	1	EOREOR	89	6
1321	4.513185095787	160	1	EOREOR	20	2
1339	23.6	8	1	EOREOR	20	4
1342	22.65	0	1	EOREOR	20	4
1343	25	10	1	EOREOR	20	4
1354	24.75	0	1	EOREOR	20	4
1366	0.9421999692917	216	1	EOREOR	20	8
1372	104.5935752869	10	1	EOREOR	20	6
1378	24.05	0	1	EOREOR	20	4
1379	27.05	-7	1	EOREOR	20	4
1391	2.056535047293	119	1	EOREOR	20	9
1400	1.189652007987	2	1	EOREOR	20	9
1401	1.302970060706	27	1	EOREOR	20	9
1402	1.487700033188	45	1	EOREOR	20	9
1406	2.008728032112	0	1	EOREOR	20	9
1407	1.604280018807	263	1	EOREOR	20	9
1411	1.573975002766	80	1	EOREOR	20	9
1412	1.774799966812	96	1	EOREOR	20	9
1413	1.695195066929	77	1	EOREOR	20	9
1439	1.338627020121	96	1	EOREOR	20	10
1442	28.86	0	1	EOREOR	89	6
1443	19.2	0	1	EOREOR	89	6
1444	47.38	0	1	EOREOR	89	6
1454	393.33	0	1	EOREOR	89	6
1458	58.34	0	1	EOREOR	89	6
1460	34.93	0	1	EOREOR	89	6
1461	70.04	0	1	EOREOR	89	6
1463	24.16	0	1	EOREOR	89	6
1467	1.167377020121	402	1	EOREOR	20	10
1468	1.252125012875	404	1	EOREOR	20	10
1469	1.905943926573	256	1	EOREOR	20	10
1484	0.8058339631558	720	1	EOREOR	20	25
1485	0.6612300083041	336	1	EOREOR	20	25
1505	1.761224738324	-4	1	EOREOR	20	11
1506	1.786400032044	28	1	EOREOR	20	11
1507	1.786400032044	22	1	EOREOR	20	11
1509	1.786400032044	130	1	EOREOR	20	11
1517	1.763999986649	77	1	EOREOR	20	11
1524	1.908547031879	96	1	EOREOR	20	10
1528	1.6030168118	7	1	EOREOR	20	11
