ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
1412;1412;1.77;96;2;both;1;TRAPPE QUADRUPLE 33VC         ;BRASSERIE DE KONINGSHOEVEN;33;10;0
1413;1413;1.7;102;2;both;1;TRAPPE TRIPLE 33VC            ;BRASSERIE DE KONINGSHOEVEN;33;8;0
1442;1442;28.86;0;2;both;1;OPTION ROBINET COMPENSATEUR   ;;100;0;0
1443;1443;19.2;0;2;both;1;RUBAN PVC NOIR 50MM           ;;100;0;0
1444;1444;47.38;0;2;both;1;BANDE ARMAFLEX ADHESIVE 50MM  ;;100;0;0
1454;1454;393.33;0;2;both;1;PLATEAU CHAUDRONNÉ INOX       ;;100;0;0
1458;1458;58.34;0;2;both;1;CONDENSATEUR DE DEMARRAGE     ;;100;0;0
1460;1460;34.93;0;2;both;1;PINCE A DENUDER               ;;100;0;0
1461;1461;70.04;0;2;both;1;CISAILLE POUR TUYAU POLYAMIDE ;;100;0;0
1463;1463;24.16;0;2;both;1;LAME POUR CISAILLE            ;;100;0;0
1467;1467;1.12;333;2;both;1;PERONI NASTRO AZZURO 33VP     ;BRASSERIE PERONI;33;5;0
1468;1468;1.25;23;2;both;1;PILSNER URQUEL 33VP           ;BRASSERIE PLZENSKY PRAZDROJ;33;4.4;0
1469;1469;1.91;236;2;both;1;GUE MOINES DAME DE COEUR 33VP ;BRASSERIE GUE DES MOINES;33;8;10
1484;1484;0.81;408;2;both;1;HEINEKEN 33BTE                ;HEINKEN;33;5;0
1485;1485;0.66;192;2;both;1;KRONENBOURG 33BTE             ;BRASSERIE KRONENBOURG;33;4.2;0
1505;1505;1.76;162;2;both;1;ERDINGER WEISS HELL 50VC      ;BRASSERIE ERDINGER ;50;5.3;0
1506;1506;1.79;89;2;both;1;FRANZISKANER WEISS DUNK 50VC  ;BRASSERIE FRANZIKANER;50;5;12
1507;1507;1.79;179;2;both;1;FRANZISKANER WEIS  NATUR 50VC ;BRASSERIE FRANZIKANER;50;5;3
