ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
5972;5972;BAVARIA PREMIUM BLONDE 30L;;85;2.01;0.412;2;30;180;100;5;1;30;1    ;0
5974;5974;PALETTE EUROPE VENDUE;;191;13.5;0;2;1;9;100;0;0;0;     ;0
5978;5978;LAUGAR KISKALE 33VP;BROWN ALE;192;1.8925;0.09966;2;24;4;33;7.33;1;0;3    ;12
5981;5981;VERRE DEBAUCHE 25CL;;0;2.535;0;2;6;168;100;0;1;0;3    ;0
5982;5982;VERRE DEBAUCHE 50CL;;0;3;0;2;6;168;100;0;1;0;3    ;0
5985;5985;MISTER B BUBBA 20LK;RUPTURE;189;4.6305;0.3296;2;20;20;100;8;0;0;5    ;0
5996;5996;GUE DES MOINES GAME OVER 20L;AMBREE;48;3.4;0.23896;2;20;100;100;5.8;1;30;1    ;4
6015;6015;VITRINE REFRIGEREE 2 PORTES;METRO;0;1600;0;2;1;2;100;0;1;0;     ;0
6016;6016;ARRIERE DE BAR VITRE 3 PORTES;METRO;0;1000;0;2;1;2;100;0;1;0;     ;0
6018;6018;L OPTIMISTE BIO ROUGE 75CL;PIC ST LOUP CHEMIN DES REVES;0;9.1625;0;2;6;0;75;13.5;1;0;     ;20
6035;6035;CYCLIC XINO XANO  75VP;HOPPY SOUR;215;5.544;0.1236;2;6;3;75;4;1;0;3    ;2
6042;6042;LOT FOUET EXTRA ANDALOU 3X180G;LOMAR A EMPORTER;0;8.7;0;3;1;0;100;0;1;0;     ;0
6058;6058;DOUGALLS TRES MARES 33VP;AMBREE;224;1.6104;0.0707;2;24;0;33;5.2;1;0;3    ;4
6060;6060;DOUGALLS RAQUERA 33VP;PILSEN SANS GLUTEN;224;1.4784;0.06798;2;24;0;33;5;0;0;3    ;7
6062;6062;VERRE STE CRU 25CL;;136;1.625;0;2;6;48;100;0;0;0;3    ;0
6063;6063;VERRE STE CRU 50CL;;136;2.6;0;2;6;60;100;0;0;0;3    ;0
6066;6066;RIO AZUL OLIVIA 30L K;BLONDE;219;3.63;0.27604;2;30;30;100;6.7;0;0;5    ;1
6072;6072;BIB 10L ORGASMIK CABERN ANJOU;CHT FRESNE AOP DEMI-SEC 2021;225;39.26;0;2;1;0;1000;13;1;0;4    ;21
6073;6073;ORGASMIK ROSÉ ANJOU 75CL;ROSÉ SUCRÉ;225;5.7375;0;2;6;145;75;11.5;1;0;     ;21
6075;6075;BRIN DE FOU BLC DEMI SEC 75CL;CHT FRESNE AOP ANJOU 2023;225;5.805;0;2;6;0;75;11.5;1;0;     ;23
6076;6076;ANJOU LES CABERNETS ROUGE 75CL;CHT FRESNE AOP 2020;225;6.0075;0;2;6;47;75;12.5;1;0;     ;23
6077;6077;LES ONILLONNES BLANC LIQ 75CL;CHT FRESNE AOP COTEAU LAYON VM;225;6.37;0;2;6;12;75;12.5;1;0;     ;25
6078;6078;GRANDE SELECTION LAYON 75CL;CHT FRESNE AOP COTEAU LAYON VM;225;8.84;0;2;6;33;75;12.5;1;0;     ;25
6079;6079;BUTTE CHEVRIOTTES  2015 75CL;AOP COTEAUX LAYON DE FAYE VM;225;15.08;0;2;6;15;75;12.5;1;0;     ;25
6080;6080;WEIHENSTEPHANER VITUS 50VC;WEIZENBOCK;229;2.0118;0.31724;2;20;157;50;7.7;1;4.8;2    ;0
6082;6082;BIB 5L GAYREL SAUVIGNON;IGP COTES DU TARN;0;14.725;0;2;1;8;500;11;1;0;4    ;22
6108;6108;CYCLIC DESPELTA NANO 75VP;SAISON EPEAUTRE;215;4.015;0.13905;2;6;25;75;4.5;1;0;3    ;11
6109;6109;CYCLIC AMBREE 75VP;SAISON;215;4.62;0.20085;2;6;23;75;6.5;1;0;3    ;11
6110;6110;CYCLIC SAISON 75VP;;215;4.56;0.16995;2;6;1;75;5.5;1;0;3    ;11
