ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
667;667;BUSH NOEL 33VC;BRUNE;20;1.7035;0.15761;2;24;0;33;12;1;4.5;2    ;18
669;669;CAROLUS AMBRIO 33VC;;29;1.6297;0.10507;2;24;281;33;8;1;4.5;2    ;4
670;670;CAROLUS CLASSIC 33VC;;29;1.5584;0.11164;2;24;283;33;8.5;1;4.5;2    ;12
672;672;CAROLUS TRIPLE 33VC;BELGIQUE;29;1.6026;0.11821;2;24;294;33;9;1;4.5;2    ;0
673;673;CHIMAY TRIPLE 33VC;;9;1.58;0.10507;2;24;242;33;8;1;4.5;2    ;10
674;674;CHIMAY BLEU 33VC;BELGIQUE;9;1.7195;0.11821;2;24;213;33;9;1;4.5;2    ;0
679;679;DELIRIUM TREMENS 33VC;BELGIQUE;40;1.8234;0.22328;2;24;1;33;8.5;1;11.8;2    ;0
681;681;ST FEUILLIEN BLONDE 33VC;BELGIQUE;11;1.5582;0.09851;2;24;94;33;7.5;1;4.5;2    ;0
684;684;ST FEUILLIEN TRIPLE 33VC;BELGIQUE;11;1.6065;0.11164;2;24;0;33;8.5;1;4.5;2    ;0
696;696;BAPTIST BLANCHE 33VC;BELGIQUE;0;1.0234;0.06567;2;24;169;33;5;1;4.5;2    ;0
697;697;GUILLOTINE 33VC;BELGIQUE;40;1.5271;0.11164;2;24;1;33;8.5;1;7;2    ;0
699;699;DE RANKE GULDENBERG 33VC;TRIPLE;16;1.5915;0.10507;2;24;230;33;8;1;4.5;2    ;10
701;701;GULDEN DRAAK 33VC;BRUNE;26;1.4883;0.13791;2;24;93;33;10.5;1;4.5;2    ;12
706;706;HERCULE STOUT 33VC X12;;3;2.2034;0.11821;2;12;83;33;9;1;8.4;2    ;5
709;709;KAPITTEL ABT TRIPLE 33VC;BELGIQUE;13;1.0396;0.13134;2;24;4;33;10;1;4.5;2    ;0
710;710;KAPITTEL BLONDE 33VC;BELGIQUE;13;1.0214;0.08537;2;24;71;33;6.5;1;4.5;2    ;0
714;714;KARMELIET TRIPLE 33VC;BELGIQUE;38;1.7167;0.22065;2;24;145;33;8.4;1;4.5;2    ;0
723;723;LEROY STOUT 33VC;BELGIQUE;13;0.6744;0.06567;2;24;0;33;5;1;4.5;2    ;0
726;726;MOINETTE BLONDE 33VC;BELGIQUE;88;1.5524;0.11164;2;24;215;33;8.5;1;4.5;2    ;10
729;729;MOINETTE AMBREE 33VC;;88;1.5409;0.11164;2;24;191;33;8.5;1;4.5;2    ;4
730;730;MONTAGNARDE 33VC;BELGIQUE;39;1.3652;0.11821;2;24;0;33;9;1;2.4;3    ;0
732;732;ORVAL 33VC;BELGIAN PALE ALE;99;1.6633;0.08143;2;24;0;33;6.2;1;4.5;2    ;8
734;734;PATER LIEVEN BLONDE 33VC;BELGIQUE;23;1.3403;0.08537;2;24;157;33;6.5;1;4.5;2    ;0
735;735;PATER LIEVEN BRUNE 33VC;BELGIQUE;23;1.3169;0.08537;2;24;68;33;6.5;1;4.5;2    ;0
736;736;PATER LIEVEN TRIPLE 33VC;BELGIQUE;23;1.6713;0.10507;2;24;194;33;8;1;4.5;2    ;0
746;746;ROCHEFORT 10 33VC;QUADRUPLE;21;2.0861;0.14841;2;24;101;33;11.3;1;4.5;2    ;12
747;747;ROCHEFORT 6 33VC;;21;1.3616;0.09851;2;24;128;33;7.5;1;4.5;2    ;29
748;748;ROCHEFORT 8 33VC;STRONG ALE;21;1.6776;0.12083;2;24;170;33;9.2;1;4.5;2    ;12
751;751;QUINTINE AMBREE 33VC X12;;3;1.998;0.11164;2;12;81;33;8.5;1;8.4;2    ;4
752;752;SAISON DUPONT 33VC;BELGIQUE;88;1.206;0.08537;2;24;261;33;6.5;1;4.5;2    ;11
753;753;QUINTINE BLONDE 33VC X12;;3;1.888;0.10507;2;12;180;33;8;1;8.4;2    ;7
756;756;ST BERNARDUS ABT 12 33VC;QUADRUPLE;31;1.5949;0.13134;2;24;171;33;10;1;4.5;2    ;0
757;757;ST BERNARDUS PRIOR 8° 33VC;BRUNE;31;1.3974;0.10507;2;24;192;33;8;1;4.5;2    ;12
759;759;QUINTINE NOEL 33VC;AMBREE ROUGE;3;1.7704;0.10245;2;12;88;33;7.8;1;8.4;2    ;18
761;761;ST FEUILLIEN BRUNE 33VC;BELGIQUE;11;1.2147;0.11164;2;24;0;33;8.5;1;4.5;2    ;0
762;762;ST FEUILLIEN GRAND CRU 33VC;BELGIQUE;11;1.7854;0.12477;2;24;32;33;9.5;1;4.5;2    ;0
763;763;ST FEUILLIEN SAISON 33VC;BELGIQUE;11;1.3044;0.08537;2;24;1;33;6.5;1;4.5;2    ;0
764;764;STRAFFE HENDRIK TRIPLE 33VC;BELGIQUE;8;1.8877;0.11821;2;24;215;33;9;1;7;2    ;0
765;765;STRAFFE HENDRIK QUADRUPLE 33VC;BELGIQUE;8;2.0482;0.14447;2;24;48;33;11;1;7;2    ;0
776;776;TROUBLETTE 33VP;BELGIQUE;28;1.3239;0.07355;2;24;0;33;5.6;1;0;2    ;0
782;782;WESTMALLE DOUBLE 33VC;BELGIQUE;5;1.306;0.09194;2;24;3;33;7;1;4.5;2    ;12
783;783;WESTMALLE TRIPLE 33VC;BELGIQUE;5;1.5453;0.12477;2;24;60;33;9.5;1;4.5;2    ;0
785;785;WITKAP TRIPLE 33VC;TRIPLE;58;1.6647;0.09851;2;24;72;33;7.5;1;7;2    ;10
786;786;DE RANKE XX BITTER 33VC;BELGIAN ALE;16;1.4482;0.0788;2;24;393;33;6;1;4.5;2    ;8
788;788;LEFORT TRIPLE 33VC;;157;1.6131;0.11558;2;24;-3;33;8.8;1;4.5;2    ;10
789;789;DE RANK SAISON DOTTIGNIES 33VC;SAISON AMBREE;16;1.5709;0.07224;2;24;323;33;5.5;1;4.5;2    ;11
790;790;DE RANKE NOIR DOTTIGNIES 33VC;BRUNE;16;1.6906;0.11164;2;24;109;33;8.5;1;4.5;2    ;5
792;792;DE RANKE SIMPLEX BLONDE 33VC;NON FILTREE NON PASTEURISEE;16;1.4122;0.0591;2;24;132;33;4.5;1;4.5;2    ;8
797;797;DE RANKE BACK TO BLACK 75VC;VIEILLIE 9 MOIS EN FOUDRE;16;7.3119;0.28357;2;6;48;75;9.5;1;1.5;3    ;5
799;799;BREWDOG BLACK JACQUES 33VP;ECOSSE;57;8.653;0.14579;2;24;31;33;11.1;1;0;3    ;0
806;806;BREWDOG TOKYO 33VP;ECOSSE;57;7.003;0.21671;2;24;0;33;16.5;1;0;3    ;0
812;812;GUE MOINES SERIE NOIRE 33VP;BRUNE FUMÉE;48;1.8132;0.09851;2;24;18;33;7.5;1;0;3    ;5
866;866;RATZ AMBREE 33VP;FONTANES LOT;27;1.4315;0.06567;2;12;66;33;5;1;0;3    ;0
867;867;RATZ BLANCHE 33VP;FONTANES LOT;27;1.4315;0.06567;2;12;38;33;5;1;0;3    ;0
868;868;RATZ BLONDE 33VP;FONTANES LOT;27;1.4315;0.06567;2;12;116;33;5;1;0;3    ;0
870;870;RATZ NOEL 33VP;AMBREE;27;1.4158;0.0788;2;12;10;33;6;1;0;3    ;18
872;872;ST PATRICK RATZ 33VP;STOUT;27;1.4288;0.06567;2;12;13;33;5;1;0;3    ;5
873;873;GUE MOINES ROI DE COEUR 33VP;IPA;48;1.8167;0.09588;2;24;241;33;7.3;1;0;3    ;1
874;874;GUE MOINES GAME OVER 33VP;AMBREE;48;1.8542;0.07618;2;24;267;33;5.8;1;0;3    ;4
875;875;ST STEFANUS ABBAYE BLONDE 33VP;;26;2.0381;0.09194;2;12;72;33;7;1;0;3    ;0
877;877;GUE MOINES BLDE OCCITANIE 33VP;BLONDE ALE;48;1.6156;0.0591;2;24;357;33;4.5;1;0;3    ;8
887;887;BACCHUS FRAMBOISE 37.5VC;;18;2.3609;0.07462;2;20;41;38;5;1;6.9;2    ;14
888;888;MOINETTE BONS VOEUX 37,5VC;;88;2.2295;0.14179;2;24;115;38;9.5;1;6.9;2    ;11
889;889;BOON GUEUZE MP 37.5VC;MARIAGE PARFAIT;41;3.309;0.1194;2;12;-1;38;8;1;2.4;2    ;2
890;890;BOON KRIEK MARIAGE PARF 37.5VC;MARIAGE PARFAIT;41;4.3838;0.1194;2;12;156;38;8;0;2.4;2    ;2
891;891;BOON OUDE GUEUZE 37.5VC;;41;2.4379;0.10447;2;12;120;38;7;1;7;2    ;2
892;892;GUE MOINES PREAMBULE 33VP;BLANCHE;48;1.8955;0.07618;2;24;132;33;5.8;1;0;3    ;3
895;895;OUD BEERSEL OUDE GUEUZE 37.5VP;;100;4.0771;0.08955;2;12;12;38;6;1;0;3    ;2
899;899;TIMMERMANS OUDE GUEUZE 37,5VC;BELGIQUE;101;2.4695;0.08209;2;12;12;38;5.5;1;4.5;2    ;0
934;934;DUO PRESTIGE ROUGE 75CL;DOMAINE VEZIAN;0;7.3;0;2;6;0;75;13.5;1;0;3    ;20
936;936;SCHLENKERLA RAUCH. MAERZ. 50VC;MARZEN;84;1.8313;0.10149;2;20;0;50;5.1;1;4.8;2    ;0
937;937;MJG COLLIOURE ROUGE 75CL;AOP COLLIOURE;0;6.84;0;2;6;12;75;14.5;1;0;3    ;20
938;938;PIGGY MONSTRUOUS COFFEE 20LK;BOURB IMP OATMEAL ST / MOSELLE;137;7.392;0.4378;2;20;20;100;11;0;0;6    ;0
943;943;ABBAYE DES  ROCS BRUNE 75 VC;BELGIQUE;39;2.4;0.26865;2;12;0;75;9;1;2.4;3    ;0
944;944;CUVEE CHARPENTIER ROUGE 75CL;CARIGNAN GRENACHE CAB / VEZIAN;0;3.54;0;2;6;0;75;13;1;0;3    ;20
